"Country","Variable","Score","isOpen","aExists","bAvailable","cMachineReadable","dBulk","eFree","fLicense","gUpdated","hSustainable","iDiscoverable","jLinked","aAgencyResponsible","aNotHeld","aThirdPartyMandate","aDetails","bURL","bThirdParty","cURL","cFormats","cNotAvailable","cAdditional","dURL","dNotes","ePolicy","eURL","fLicense","fURL","gLastUpdated","gChecked","gFrequency","hNotes","iNotes","jDocumentation","jExample"
"Argentina","ODB.2013.D12","80","1","5","10","15","15","15","15","-5","5","5","0","There are databases which are in charge of the Dirección Nacional de Información y Evaluación de la Calidad Educativa (1), part of the Ministerio de Educación (2). However the mayor part of this data is not up to date. INDEC also provides several datasets in Excel files (3). Finally, the Argentinian Data Portal also provides some outdated datasets (4)

(1): http://portales.educacion.gov.ar/diniece/
(2): http://portal.educacion.gov.ar/
(3): http://www.indec.mecon.ar/desaweb/nivel4_default.asp?id_tema_1=4&id_tema_2=33&id_tema_3=98
(4): http://datospublicos.gov.ar/data/dataset?organization=ministerio-de-educacion","0","0","","(1): http://portales.educacion.gov.ar/diniece/
(2): http://portal.educacion.gov.ar/
(3): http://www.indec.mecon.ar/desaweb/nivel4_default.asp?id_tema_1=4&id_tema_2=33&id_tema_3=98
(4): http://datospublicos.gov.ar/data/dataset?organization=ministerio-de-educacion","No","Students per level, section and province: http://www.indec.mecon.ar/desaweb/ftp/cuadros/sociedad/f030101.xls
Indicators: http://datospublicos.gov.ar/data/dataset/indicadores-de-educacion","xls,spss,csv","0","","Students per level, section and province: http://www.indec.mecon.ar/desaweb/ftp/cuadros/sociedad/f030101.xls
Indicators: http://datospublicos.gov.ar/data/dataset/indicadores-de-educacion","","","","Depending on who publishes, in the case of the Argentinian Portla they release data using ODbL license, while others do not provide licensing information.","","2011, 2009 and in few cases, 2013","9/29/2014","unknown","More likely the collection of the data, not its publication.","","0","0"
"Argentina","ODB.2013.D13","10","0","5","10","0","0","0","0","-5","0","0","0","There are databases collected from different governmental institutions. On one hand there are all the provincial authorities of the Dirección Nacional de Política Criminal (Ministerio de Justicia), which inform and produce a national database. This data refers to certain types of crimes and in not up to date (last report dates from 2012).

There are also some databases produced by government and shared between public bodies in charge of security but not publicly. This is the case of the Dirección Nacional de Gestión de la Información Criminal (Ministerio de Seguridad)","0","0","","(1): Dirección Nacional de Política Criminal, http://www.jus.gob.ar/areas-tematicas/estadisticas-de-politica-criminal/mapa.aspx, Accessed on 13th May, 2014
(2): Kidnappings http://datospublicos.gov.ar/data/dataset/secuestros-de-empresarios Accessed September 29th, 2014","(1): Dirección Nacional de Gestión de la Información Criminal, http://www.utdt.edu/ver_contenido.php?id_contenido=968&id_item_menu=2156, Accessed on 13th May, 2014","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D14","10","0","5","10","0","0","0","0","-5","0","0","0","There is environmental statistics data available, but the most part of it, even if it is shared, in not updated. The principal responsible for this type of data is the Dirección de Impacto Ambiental y Social (1), part of the Secretaría Ambiente y Desarrollo Sustentable de la Nación. They have various statistic (not updated) and they have developed the Sistema de Indicadores de Desarrollo Sostenible, but even these are out of date.

There is also some of these data, in the national level, in the hands of the Ministerio de Agricultura, Ganadería y Pesca (2) and at the Subsecretaría de Recursos Hídricos, but the latter asks for personal information in order to provide the data (3). Also at the provincial level there are the environmental or sustainable development offices that owe their own data.

(1): http://www.ambiente.gov.ar/?idseccion=16
(2): http://www.siia.gov.ar/_apps/siia/arbol/total_pciaX.php?respuesta=M
(3): http://bdhi.hidricosargentina.gov.ar/sitioweb/frmInicial.aspx","0","0","","(1): Dirección de Impacto Ambiental y Social, http://www.ambiente.gov.ar/?idseccion=211, Accessed on September 29th, 2014
(2): Dirección de Impacto Ambiental y Social, http://www.ambiente.gov.ar/archivos/web/Indicadores/file/publicaciones/Indicadores_2012_OscarA4.pdf  Accessed on September 29th, 20142014
(3): Dirección de Impacto Ambiental y Social, http://www.ambiente.gob.ar/observatoriorsu/informacion_general/estadisticas.html Accessed on September 29th, 2014
(5): Sistema Integrado de Informacion Agropecuaria del Ministerio de Agricultura, Ganadería y Pesca, http://www.siia.gov.ar/_apps/siia/arbol/total_pciaX.php?respuesta=M Accessed on September 29th, 2014
(6): Subsecretaría de Recursos hídricos, http://www.hidricosargentina.gov.ar/ Accessed on September 29th, 2014","No","0","0","No updated data was available in machine-readable format. Some outdated data was available in Excel.","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D15","95","1","5","10","15","15","15","15","10","5","5","0","The responsible for this data is the Dirección Nacional Electoral (1)

(1): http://www.elecciones.gov.ar/","0","0","","(1): Dirección Nacional Electoral, http://www.elecciones.gov.ar/nota_home.php?id_nota=25#.VCpX5ildU7s Accessed on September 29th, 2014
(2): Portal de Datos Públicos, http://datospublicos.gov.ar/data/dataset/resultados-electorales, Accessed on September 29th, 2014","No","http://www.datospublicos.gob.ar/data/storage/f/2013-08-08T03%3A05%3A14.491Z/electoral-2003-2011-completo.csv","","0","","http://www.datospublicos.gob.ar/data/storage/f/2013-08-08T03%3A05%3A14.491Z/electoral-2003-2011-completo.csv","","","","Open Data Commons Open Database License (ODbL)","http://www.opendefinition.org/licenses/odc-odbl","2011","9/29/2014","irregular","","","0","0"
"Argentina","ODB.2013.D16","15","0","5","10","0","0","0","0","0","0","0","0","Oficina Nacional de Contrataciones (1) is in charge of public contracting. From the operational point of view, public contracting is decentralized, where each province is in charge of their own purchases.

(1): https://www.argentinacompra.gov.ar/","0","0","","Autonomous city of Buenos Aires: http://www.buenosairescompras.gob.ar/
Buenos Aires (province): http://sistemas.gba.gov.ar/consulta/contrataciones/
Entre Rios: http://www.entrerios.gov.ar/contrataciones/
Mendoza: http://compras.mendoza.gov.ar/gxportal50/page.aspx?3,dcs,busqueda-de-licitaciones,P,es,0,","No","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","ODB.2013.D1","95","1","5","10","15","15","15","15","10","5","5","0","Geoscience Australia's National Geographic Information Group is the Australian Government's National Mapping Agency. 

Department of Communications that opened up  ‘National Map Open Data’ initiative, which aims to give users access to a single platform for Government geospatial datasets, including those from the Bureau of Meteorology, Australian Bureau of Statistics and data.gov.au.

The Australian Bureau of Statistics looks after statistical geography. 

The Department of Infrastructure and Regional Development keeps data on roads and related infrastructure.","0","0","The Maps have various information that includes such as official administrative borders, roads and other important infrastructure - railways, land tenure, maritime zones, etc","http://www.ga.gov.au/scientific-topics/geographic-information/topographic-maps-data

http://nationalmap.nicta.com.au/

http://data.gov.au/dataset?q=Maps&sort=score+desc%2C+metadata_modified+desc&ext_bbox=&ext_prev_extent=56.953125%2C-67.87554134672943%2C211.640625%2C42.553080288955826

http://nationalmap.nicta.com.au/

http://www.abs.gov.au/websitedbs/D3310114.nsf/home/Geography?opendocument#from-banner=LN","Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).","http://nationalmap.nicta.com.au/

http://data.gov.au/dataset?q=Maps&sort=score+desc%2C+metadata_modified+desc&ext_bbox=&ext_prev_extent=56.953125%2C-67.87554134672943%2C211.640625%2C42.553080288955826","xml, csv, wms, wfs","0","Map data is also available on Open data website - http://nationalmap.nicta.com.au/","http://data.gov.au/dataset/australian-topography-map-service","Data can be accessed through bulk web services.","The Map data sets can freely be accessed from the agencies that are responsible for map data.","","Creative Commons Attribution 3.0 Australia","http://creativecommons.org/licenses/by/3.0/au/","Unknown","10/9/2014","Unknown","Data is sustainable. There is a range of Map data and Maps of different features from the agencies responsible for publishing data.","Data can easily be discovered on the Geoscience Australia websites and the Open data portal - http://data.gov.au/.

Also, on the Open data portal - http://data.gov.au/ , there is a link to National Map - http://nationalmap.nicta.com.au/","0","0"
"Australia","ODB.2013.D2","10","0","5","10","0","0","0","0","-5","0","0","0","Each State and Territory has a central land registration, the majority of which are available online, for example in Victoria there is the The Department of Transport, Planning and Local Infrastructure (DTPLI) which provides online access to land titles and in the ACT there is the Land Titles Public Register.","0","0","Information from various websites includes land ownership registries - http://australia.gov.au/content/land-titles","http://australia.gov.au/content/land-titles

http://www.dtpli.vic.gov.au/property-and-land-titles/property-information/statistics

http://www.ors.act.gov.au/community/land_titles/land_titles_public_register

https://www.landgate.wa.gov.au/corporate.nsf/web/Tenure+Data

http://australia.gov.au/content/land-titles","Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).","0","0","Unknown. Information accessed after request and payments are made.","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","ODB.2013.D4","80","0","5","10","15","0","15","15","10","5","5","0","Australian Bureau of Statistics

The Australian Government is responsible for the release of the national statistics dataset and there is opportunity to request more data via data.gov.au data request site. These data sets are collated from the Australian Bureau of Statistics as well as local data (as census data is published retrospectively after the data has been collected).","0","0","The national statistics on the Australian Bureau of Statistics includes information on population and housing characteristics of the people in the country. Data includes information on education levels, marital status, religious affiliations, employment, housing, among others","http://data.gov.au/

http://datagovau.ideascale.com/

http://www.abs.gov.au/websitedbs/censushome.nsf/home/data

http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/0

http://www.abs.gov.au/websitedbs/censushome.nsf/home/historicaldata?opendocument&navpos=280

http://www.abs.gov.au/AUSSTATS/abs@.nsf/ViewContent?readform&view=ProductsbyCatalogue&Action=Expand&Num=2.2","Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).","http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2075.02011?OpenDocument

http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3218.02012-13?OpenDocument","xls","0","","0","","Data on the Australian Bureau of Statistics Can freely be accessed at no cost","http://www.abs.gov.au/websitedbs/d3310114.nsf/4a256353001af3ed4b2562bb00121564/83b66e9ffafd6dabca257140007575b5!OpenDocument","Attribution 2.5 Australia","http://creativecommons.org/licenses/by/2.5/au/","2011","10/10/2014","5-years","There is a lot of information on census that dates back in 1911. There is also snapshot of census data for 1901 -","Data on census can easily be discovered as there is a link to census on the Australian Bureau of Statistics","0","0"
"Australia","ODB.2013.D5","80","0","5","10","15","0","15","15","10","5","5","0","Ministry of Finance 
Open Data portal - data.gov.au","0","0","The information includes government expected expenditures on various sectors and revenues in Australia","http://data.gov.au/dataset/budget-2014-15-tables-and-data

http://budget.gov.au/2014-15/index.htm","Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).","http://data.gov.au/dataset/budget-2014-15-tables-and-data","xls","0","","0","","The datasets on the open data portal and the Ministry of Finance can freely be accessed at no cost.","http://data.gov.au/about","Creative Commons Attribution 3.0 Australia licence.","http://creativecommons.org/licenses/by/3.0/au/","2014","10/8/2014","Yearly","The data set is sustainable because there is a lot of information on budgets on the Ministry of Finance website. It dates becak to 1996.Refer to the link - http://budget.gov.au/past_budgets.htm","Data can easily be discovered. On the Ministry of Finance website, there is a link to budget website - http://www.budget.gov.au/  whereas on the Open data portal, datasets can be located under department of finance datasets","0","0"
"Australia","ODB.2013.D6","15","0","5","10","0","0","0","0","0","0","0","0","Department of Finance

The Parliament of Australia is responsible for data on government spending in the country as is the Australian Bureau of Statistics","0","0","The information with the department of finance includes monthly government spending on various items in different government agencies. It is published through monthly financial statements","http://www.finance.gov.au/publications/commonwealth-monthly-financial-statements/

http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Budget_Office/reports/Australian_Government_spending

http://www.abs.gov.au/ausstats/abs@.nsf/mf/5519.0.55.001","Cannot locate open data from third party but may exist - see http://infoaus.net/budget/index.php","0","0","Only available in pdf formats","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
