                                                                                                                                                                                                                                                          ,,,,,
"Source: USCIS, data as of August 10, 2018. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,
Employer Tax Number (Last 4 digits),Employer Name,Number of Approved Petitions,Average Salary,Beneficiary's Degree/Diploma,
 , , , ,Master's Degree,27
8691,CORE ED & CONSULTING SOLUTIO,60,"$79,200",Bachelor's,31
 , , , ,Master's Degree,29
7967,SPRINT NEXTEL CORP,60,"$80,449",Master's Degree,42
 , , , ,Bachelor's,18
1998,THE UNIV OF GEORGIA OIE,60,"$55,588",Doctorate,50
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
0600,ADECCO GROUP NA/MODIS INC,60,"$64,666",Bachelor's,32
 , , , ,Master's Degree,28
1955,SONATA SOFTWARE N AMERICA IN,60,"$71,777",Bachelor's,32
 , , , ,Master's Degree,H
 , , , ,Professional Degree,D
5566,THE UNIV OF TEXAS AT DALLAS,60,"$60,029",Doctorate,44
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
0035,PARTNERS HEALTHCARE INC,59,"$62,849",Professional Degree,49
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
2160,UNIV OF CONNECTICUT OFC OF T,59,"$61,498",Doctorate,55
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
1051,TRANS AMERICAN INFO SYSTEMS,59,"$100,169",Bachelor's,32
 , , , ,Master's Degree,27
0707,SOFTWARE PARADIGMS INTL GROU,59,"$72,530",Bachelor's,42
 , , , ,Master's Degree,17
9338,KINDRED REHAB SVCS INC D/B/A,59,"$62,883",Master's Degree,35
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
5791,HEWITT ASSOCIATES LLC,59,"$83,916",Bachelor's,29
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
7995,BAKER HUGHES INCORPORATED,59,"$91,775",Master's Degree,34
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
0122,ST BARNABAS HOSPITAL,58,"$57,197",Professional Degree,58
8146,SUNERA TECHNOLOGIES INC,58,"$78,879",Bachelor's,33
 , , , ,Master's Degree,25
7020,E-BUSINESS INTERNATIONAL INC,58,"$79,384",Bachelor's,44
 , , , ,Master's Degree,14
2024,BLIZZARD ENTERTAINMENT INC,58,"$87,928",Bachelor's,38
 , , , ,Master's Degree,10
 , , , ,Associate Degree,D
 , , , ,Some College,D
 , , , ,Doctorate,D
7267,COMPREHAB INC DBA COMPLEAT R,58,"$40,803",Bachelor's,H
 , , , ,Master's Degree,D
8499,GLOBAL TEACHERS RESEARCH & R,58,"$45,539",Master's Degree,29
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
0209,GLOBAL EDGE SOFTWARE INC,58,"$69,188",Bachelor's,48
 , , , ,Master's Degree,10
8809,BROWN UNIVERSITY,57,"$56,384",Doctorate,48
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
1916,CITIUSTECH INC,57,"$78,500",Bachelor's,53
 , , , ,Master's Degree,D
 , , , ,Doctorate,D
2166,THE CHILDREN S HOSP OF PHILA,57,"$65,926",Professional Degree,30
 , , , ,Doctorate,14
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
5755,COMCAST CABLE COMMUNICATIONS,57,"$101,407",Master's Degree,31
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
4575,ESURANCE INSURANCE SVCS INC,57,"$98,406",Master's Degree,33
 , , , ,Bachelor's,24
4148,CORP2CORP INC,57,"$61,787",Master's Degree,29
 , , , ,Bachelor's,28
8666,CARDINAL HEALTH INC,57,"$89,996",Master's Degree,33
 , , , ,Bachelor's,24
9852,ZS ASSOCIATES INC,57,"$79,070",Bachelor's,50
 , , , ,Master's Degree,D
 , , , ,Doctorate,D
3073,BLACK & VEATCH CORP,57,"$80,800",Master's Degree,39
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5361,USM BUSINESS SYSTEMS INC,57,"$65,229",Master's Degree,44
 , , , ,Bachelor's,13
2230,HH MEDSTAR HEALTH INC,57,"$86,217",Professional Degree,52
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
2326,SRS CONSULTING INC,57,"$86,364",Bachelor's,38
 , , , ,Master's Degree,19
4707,HOWARD UNIV,57,"$60,577",Professional Degree,31
 , , , ,Doctorate,13
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
4882,UNIV OF LOUISVILLE,57,"$73,236",Doctorate,39
 , , , ,Professional Degree,H
 , , , ,Master's Degree,D
9853,AUTODESK INC,57,"$114,338",Master's Degree,27
 , , , ,Bachelor's,24
 , , , ,Doctorate,D
 , , , ,High School,D
8567,ELECTRONIC ARTS INC,57,"$106,154",Master's Degree,30
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
0702,THOMSON REUTERS MARKETS LLC,56,"$103,960",Master's Degree,34
 , , , ,Bachelor's,22
2275,DYNASOFT SYNERGY INC,56,"$63,554",Bachelor's,33
 , , , ,Master's Degree,23
4810,NAVISTAR INC,56,"$85,111",Master's Degree,41
 , , , ,Bachelor's,12
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
6261,MEDICAL COLLEGE OF WISCONSIN,56,"$114,566",Professional Degree,41
 , , , ,Doctorate,D
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
4839,THE UNIV OF KANSAS,56,"$58,265",Doctorate,45
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
5141,COLLABERA SOLUTIONS P L FORM,56,"$75,458",Bachelor's,35
 , , , ,Master's Degree,21
8235,UT BATTELLE LLC ORNL,56,"$93,926",Doctorate,43
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
7231,THE GAP INC,56,"$113,952",Bachelor's,31
 , , , ,Master's Degree,22
 , , , ,Doctorate,D
 , , , ,High School,D
2976,LSI CORPORATION,56,"$97,701",Master's Degree,40
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
9980,NORTHEASTERN UNIV,55,"$71,420",Doctorate,45
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
4559,SIRI INFOSOLUTIONS INC,55,"$62,624",Master's Degree,H
 , , , ,Bachelor's,D
1703,PROSOFT TECHNOLOGY GROUP INC,55,"$79,356",Bachelor's,31
 , , , ,Master's Degree,24
1758,VIRGINIA COMMONWEALTH UNIV,55,"$57,795",Doctorate,37
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
7616,FLORIDA INTL UNIV,55,"$64,327",Doctorate,43
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
0141,OCCIDENTAL OIL AND GAS CORPO,55,"$125,634",Master's Degree,28
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
9359,RACKSPACE US INC,55,"$96,437",Master's Degree,33
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
7272,NETFLIX INC,55,"$202,920",Bachelor's,27
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
9888,JUNIPER NETWORKS US INC,55,"$111,656",Master's Degree,30
 , , , ,Bachelor's,H
 , , , ,Some College,D
8991,CITIGROUP TECHNOLOGY INC,54,"$105,594",Bachelor's,33
 , , , ,Master's Degree,21
6691,BLACKROCK FINANCIAL MANAGEME,54,"$103,181",Master's Degree,29
 , , , ,Bachelor's,21
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
4376,PROMATRIX CORP,54,"$61,306",Master's Degree,28
 , , , ,Bachelor's,26
6850,THE SHERWIN WILLIAMS COMPANY,54,"$87,532",Master's Degree,31
 , , , ,Bachelor's,23
1483,THE UNIV OF TOLEDO,54,"$64,002",Professional Degree,32
 , , , ,Doctorate,18
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
 , , , ,Some College,D
4681,TEK SERVICES LLC,54,"$61,210",Master's Degree,H
 , , , ,Bachelor's,D
1751,KANSAS STATE UNIV,54,"$55,217",Doctorate,43
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
1393,UNIV OF NC AT CHAPEL HILL,54,"$59,627",Doctorate,43
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
1313,DGN TECHNOLOGIES INC,54,"$74,926",Master's Degree,39
 , , , ,Bachelor's,15
6696,ARIZONA STATE UNIV,54,"$64,430",Doctorate,42
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
9097,ARUBA NETWORKS INC,53,"$119,770",Master's Degree,38
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
3065,ICONSOFT INC,53,"$83,792",Master's Degree,34
 , , , ,Bachelor's,19
4594,CA INC D/B/A CA TECHNOLOGIES,53,"$105,845",Bachelor's,28
 , , , ,Master's Degree,25
3536,HUNTER COLLEGE OF THE CITY U,53,"$77,359",Doctorate,37
 , , , ,Master's Degree,12
 , , , ,Bachelor's,D
 , , , ,Missing Education,D
 , , , ,Professional Degree,D
7280,SIEMENS ENERGY INC,53,"$86,504",Master's Degree,31
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
8244,SPERIDIAN TECHNOLOGIES LLC,53,"$58,488",Bachelor's,37
 , , , ,Master's Degree,16
9476,BLACKROCK INVESTMENT MGT LLC,53,"$97,078",Master's Degree,31
 , , , ,Bachelor's,22
7100,NATIONWIDE INSURANCE,53,"$84,358",Master's Degree,26
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1248,FLORIDA STATE UNIVERSITY,53,"$64,053",Doctorate,42
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
1843,CAMERON INTERNATIONAL CORPOR,53,"$105,646",Master's Degree,34
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
7598,GILEAD SCIENCES INC,53,"$104,979",Master's Degree,32
 , , , ,Bachelor's,11
 , , , ,Doctorate,10
7016,NOVARTIS INSTS FOR BIOMEDICA,52,"$88,074",Doctorate,23
 , , , ,Master's Degree,23
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
3370,CIGNA CGLIC,52,"$98,542",Bachelor's,25
 , , , ,Master's Degree,25
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
6270,BAHA INDS CORP DBA OPEN SYSS,52,"$128,029",Bachelor's,30
 , , , ,Master's Degree,22
8864,SPARTAN SOLUTIONS INC,52,"$72,092",Master's Degree,41
 , , , ,Bachelor's,11
9507,NEW YORK TECHNOLOGY PARTNERS,52,"$74,769",Bachelor's,37
 , , , ,Master's Degree,15
4772,PENN STATE MILTON S HERSHEY,52,"$113,939",Professional Degree,H
 , , , ,Master's Degree,D
1190,SPARTA CONSULTING INC,52,"$104,769",Bachelor's,34
 , , , ,Master's Degree,18
7267,INFORMATION CONTROL CORP,52,"$81,641",Master's Degree,27
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
9224,APPLEXUS TECHNOLOGIES LLC,52,"$75,192",Bachelor's,34
 , , , ,Master's Degree,18
3270,HEARTLAND EMPLOYMENT SVCS LL,52,"$63,341",Master's Degree,27
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
7524,MGT HEALTH SYSTEMS INC DBA M,52,"$47,571",Bachelor's,H
 , , , ,Master's Degree,D
6109,OREGON HEALTH & SCIENCE UNIV,52,"$54,801",Doctorate,26
 , , , ,Professional Degree,17
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
9115,PHILIPS ELECTRONICS N AMERIC,51,"$97,131",Master's Degree,27
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
7149,AIT GLOBAL INC,51,"$60,529",Bachelor's,40
 , , , ,Master's Degree,11
6283,ORPINE INC,51,"$62,117",Master's Degree,H
 , , , ,Bachelor's,D
6104,GENESIS ELDERCARE REHABILITA,51,"$70,995",Master's Degree,28
 , , , ,Bachelor's,16
 , , , ,Professional Degree,D
 , , , ,Doctorate,D
8642,FRONTIER TECHNOLOGIES LLC,51,"$69,026",Master's Degree,H
 , , , ,Bachelor's,D
1574,AEGIS THERAPIES INC,51,"$73,656",Master's Degree,26
 , , , ,Bachelor's,22
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
0778,SAMSUNG INFO SYSTEMS AMERICA,51,"$129,184",Master's Degree,20
 , , , ,Bachelor's,18
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
2889,CELLCO PARTNERSHIP DBA VERIZ,50,"$101,166",Bachelor's,25
 , , , ,Master's Degree,25
7394,CHRYSLER GROUP LLC,50,"$86,250",Master's Degree,33
 , , , ,Doctorate,D
 , , , ,Bachelor's,D
4382,THE METROHEALTH SYSTEM,50,"$80,684",Professional Degree,H
 , , , ,Master's Degree,D
7371,GENOME INTERNATIONAL CORPORA,50,"$63,230",Master's Degree,H
 , , , ,Bachelor's,D
3466,IGT SOLUTIONS INC,50,"$67,293",Bachelor's,33
 , , , ,Master's Degree,17
0403,CHILDREN S NATIONAL MEDICAL,50,"$80,975",Professional Degree,21
 , , , ,Doctorate,16
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
7565,HERITAGE CARE INC,50,"$69,287",Bachelor's,39
 , , , ,Master's Degree,11
0472,OPUS SOFTWARE SOLNS PVT LTD,50,"$77,855",Bachelor's,29
 , , , ,Master's Degree,21
3017,SAS INSTITUTE INC,50,"$93,318",Master's Degree,28
 , , , ,Bachelor's,12
 , , , ,Doctorate,10
6916,WEATHERFORD INTERNATIONAL IN,50,"$90,576",Master's Degree,36
 , , , ,Bachelor's,12
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
0024,UNIV OF NEVADA RENO,50,"$60,375",Doctorate,35
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Associate Degree,D
8754,RIVERBED TECHNOLOGY INC,49,"$110,237",Master's Degree,40
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
0828,DEUTSCHE BANK SECURITIES INC,49,"$112,976",Master's Degree,31
 , , , ,Bachelor's,16
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
0354,SOGETI USA LLC,49,"$88,189",Bachelor's,31
 , , , ,Master's Degree,18
5170,PFIZER INC,49,"$102,915",Doctorate,25
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
3182,FREESCALE SEMICONDUCTOR INC,49,"$77,612",Master's Degree,28
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
3208,COMPETENT SYSTEMS INC,49,"$60,265",Bachelor's,26
 , , , ,Master's Degree,23
9219,INFOR US INC,49,"$73,014",Bachelor's,31
 , , , ,Master's Degree,18
1256,JNIT TECHNOLOGIES INC,49,"$63,460",Master's Degree,30
 , , , ,Bachelor's,19
1881,NISUM TECHNOLOGIES INC,49,"$104,485",Bachelor's,30
 , , , ,Master's Degree,19
0405,VARNAR INC,49,"$63,898",Bachelor's,26
 , , , ,Master's Degree,23
4794,CALIFORNIA DEPT OF TRANSPORT,49,"$85,308",Master's Degree,40
 , , , ,Doctorate,D
 , , , ,Bachelor's,D
0941,ISYNC SOLUTIONS INC,49,"$59,980",Master's Degree,27
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
9614,RAPIDIT INC,48,"$67,063",Bachelor's,25
 , , , ,Master's Degree,23
7148,MASSACHUSETTS GENERAL HOSP/M,48,"$91,654",Professional Degree,H
 , , , ,Doctorate,D
0095,RENSSELAER POLYTECHNIC INSTI,48,"$57,869",Doctorate,38
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
3209,UNIV OF ROCHESTER,48,"$68,276",Doctorate,21
 , , , ,Professional Degree,13
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
0650,HONEYWELL INTERNATIONAL INC,48,"$100,118",Master's Degree,22
 , , , ,Bachelor's,20
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
6960,PHOTON INFOTECH INC,48,"$68,579",Bachelor's,31
 , , , ,Master's Degree,17
0348,STANDARD & POORS FINANCIAL S,48,"$112,113",Bachelor's,23
 , , , ,Master's Degree,22
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
4025,WALGREEN CO,48,"$113,014",Bachelor's,29
 , , , ,Master's Degree,15
 , , , ,Professional Degree,D
 , , , ,Doctorate,D
9692,CAMBRIDGE SOLUTIONS & SERVIC,48,"$64,964",Bachelor's,H
 , , , ,Master's Degree,D
3470,AMERICAN INFORMATION TECH CO,48,"$60,701",Master's Degree,25
 , , , ,Bachelor's,23
8078,MURPHY-BROWN LLC,48,"$38,573",Bachelor's,37
 , , , ,Doctorate,D
 , , , ,Master's Degree,D
 , , , ,Some College,D
7782,SAPVIX INC,48,"$62,583",Master's Degree,31
 , , , ,Bachelor's,17
3015,WEST SERVICES INC,48,"$83,334",Bachelor's,25
 , , , ,Master's Degree,23
1650,GARLAND INDEPENDENT SCH DIST,48,"$47,924",Bachelor's,32
 , , , ,Master's Degree,14
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
9603,NORGATE TECHNOLOGY,47,"$97,047",Bachelor's,25
 , , , ,Master's Degree,22
7778,SIEMENS MEDICAL SOLUTIONS US,47,"$90,010",Bachelor's,25
 , , , ,Master's Degree,19
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
9088,RESOURCE LOGISTICS INC,47,"$75,759",Master's Degree,24
 , , , ,Bachelor's,23
3693,AKVARR INC,47,"$62,136",Bachelor's,25
 , , , ,Master's Degree,22
8616,TENDER TOUCH REHAB SERVICES,47,"$49,788",Bachelor's,24
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
0375,SCM DATA INC,47,"$60,298",Master's Degree,H
 , , , ,Bachelor's,D
1291,BROADRIDGE FINANCIAL SOLUTIO,47,"$97,590",Bachelor's,31
 , , , ,Master's Degree,16
3736,PROGRESSIVE CASUALTY INSURAN,47,"$77,092",Master's Degree,37
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
0683,SCHNEIDER ELECTRIC USA INC,47,"$76,699",Master's Degree,25
 , , , ,Bachelor's,22
5128,THE DOW CHEMICAL COMPANY,47,"$102,099",Doctorate,29
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
0038,WHIRLPOOL CORP,47,"$96,563",Master's Degree,31
 , , , ,Bachelor's,11
 , , , ,Doctorate,D
 , , , ,Associate Degree,D
2466,REHABCARE GROUP EAST INC,47,"$64,737",Master's Degree,28
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5326,CLOUDEEVA INC,47,"$61,101",Master's Degree,30
 , , , ,Bachelor's,17
7970,BARCLAYS BANK DELAWARE,47,"$103,468",Master's Degree,28
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
0603,REI SYSTEMS INC,47,"$83,778",Master's Degree,H
 , , , ,Bachelor's,D
5550,COMSCORE INC,47,"$77,545",Master's Degree,H
 , , , ,Bachelor's,D
7538,HUMANA INC,47,"$91,768",Bachelor's,23
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
1990,OMNIVISION TECHNOLOGIES INC,47,"$107,918",Master's Degree,31
 , , , ,Doctorate,D
 , , , ,Bachelor's,D
 , , , ,Some College,D
4479,EDUCATIONAL TESTING SVC,46,"$81,994",Master's Degree,23
 , , , ,Doctorate,12
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
2152,ABINGTON MEMORIAL HOSPITAL,46,"$58,056",Professional Degree,H
 , , , ,Master's Degree,D
7913,SPLENDTEK INC,46,"$61,739",Bachelor's,25
 , , , ,Master's Degree,21
9176,LHP SOFTWARE LLC,46,"$68,689",Master's Degree,H
 , , , ,Bachelor's,D
2709,DMC EDUCATION & RESEARCH INC,46,"$52,908",Professional Degree,46
3994,NIC INFO TEK INC,46,"$61,182",Master's Degree,H
 , , , ,Bachelor's,D
5138,INFOMERICA INC,46,"$59,401",Master's Degree,30
 , , , ,Bachelor's,16
5222,GULFSTREAM AEROSPACE CORPORA,46,"$91,020",Bachelor's,24
 , , , ,Master's Degree,19
 , , , ,Doctorate,D
 , , , ,Some College,D
1309,THE UNIV OF TEXAS HEALTH SCI,46,"$87,198",Doctorate,23
 , , , ,Professional Degree,14
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
6096,MAXIM INTEGRATED PRODUCTS IN,46,"$90,553",Master's Degree,29
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
3679,LIBERTY MUTUAL GROUP INC,45,"$101,734",Master's Degree,27
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
6155,ARROW ELECTRONICS INC,45,"$105,245",Bachelor's,32
 , , , ,Master's Degree,13
7484,BILINGUALS INC DBA ACHIEVE B,45,"$58,740",Master's Degree,H
 , , , ,Bachelor's,D
4158,THE ROCKEFELLER UNIVERSITY,45,"$57,912",Doctorate,36
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
1767,XPEDITE TECHNOLOGIES INC,45,"$61,465",Master's Degree,H
 , , , ,Bachelor's,D
9055,ISTREAM SOLUTIONS INC,45,"$83,215",Bachelor's,29
 , , , ,Master's Degree,16
7617,ROCKWELL AUTOMATION INC,45,"$86,367",Master's Degree,23
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
4922,WORLDQUANT LLC,45,"$80,667",Master's Degree,20
 , , , ,Bachelor's,14
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
2079,KENT STATE UNIVERSITY,45,"$50,774",Doctorate,26
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
2970,MARSHFIELD CLINIC,45,"$164,331",Professional Degree,41
 , , , ,Doctorate,D
 , , , ,Master's Degree,D
9647,ERP AND ERP CORP,45,"$61,810",Master's Degree,34
 , , , ,Bachelor's,11
9683,TRIANZ CONSULTING INC,45,"$75,981",Master's Degree,23
 , , , ,Bachelor's,22
3889,TULANE UNIV,45,"$88,331",Doctorate,29
 , , , ,Professional Degree,H
 , , , ,Master's Degree,D
9502,SABRE INC,45,"$85,826",Master's Degree,27
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
9443,APOLLO GROUP INC,45,"$97,937",Master's Degree,25
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
4066,STANFORD HOSPITAL & CLINICS,45,"$112,199",Bachelor's,19
 , , , ,Master's Degree,16
 , , , ,Professional Degree,D
 , , , ,Doctorate,D
6652,YALE NEW HAVEN HOSPITAL,44,"$66,450",Professional Degree,39
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
5091,HUGHES NETWORK SYSTEMS LLC,44,"$82,982",Master's Degree,25
 , , , ,Bachelor's,19
1298,NYU HOSPITALS CENTER,44,"$73,559",Professional Degree,35
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
2798,AVANT HEALTHCARE PROFESSIONA,44,"$37,040",Bachelor's,H
 , , , ,Master's Degree,D
4559,CAMELOT INTEGRATED SOLUTIONS,44,"$63,853",Master's Degree,H
 , , , ,Bachelor's,D
6419,EDIFECS INC,44,"$98,933",Bachelor's,30
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
5306,UNIV OF MEDICINE & DENTISTRY,44,"$61,735",Doctorate,29
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
5929,CAPGEMINI AMERICA INC,44,"$96,190",Bachelor's,27
 , , , ,Master's Degree,17
6071,FRED HUTCHINSON CANCER RESEA,44,"$57,876",Doctorate,23
 , , , ,Master's Degree,13
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
5579,COLLABORATE SOLUTIONS INC,44,"$64,529",Master's Degree,33
 , , , ,Bachelor's,11
4823,RUSH UNIV MEDICAL CENTER,44,"$78,146",Professional Degree,35
 , , , ,Doctorate,D
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
4204,INSIEME NETWORKS INC,44,"$134,977",Master's Degree,24
 , , , ,Bachelor's,20
7974,INOVALON INC,44,"$86,587",Master's Degree,H
 , , , ,Bachelor's,D
1108,WA STATE UNIV VETERINARY CLI,44,"$51,027",Doctorate,35
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
9960,ANSYS INC,43,"$85,517",Master's Degree,25
 , , , ,Doctorate,14
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
2540,FMR CO INC DBA FIDELITY INVE,43,"$91,551",Bachelor's,25
 , , , ,Master's Degree,18
1656,BARCLAYS CAPITAL INC,43,"$122,760",Bachelor's,24
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
3319,SAGARSOFT INC,43,"$100,212",Master's Degree,22
 , , , ,Bachelor's,21
4926,SQA CONCEPTS INC,43,"$60,315",Bachelor's,23
 , , , ,Master's Degree,20
4503,OBERON IT INC,43,"$54,624",Master's Degree,27
 , , , ,Bachelor's,16
3890,CUMMINS EMISSION SOLUTIONS I,43,"$75,713",Master's Degree,30
 , , , ,Bachelor's,13
3638,FACEBOOK SERVICES INC,43,"$135,539",Bachelor's,24
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
0018,ABB INC,43,"$83,366",Master's Degree,24
 , , , ,Bachelor's,15
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
8409,CONTINENTAL AUTOMOTIVE SYSTE,43,"$80,571",Master's Degree,23
 , , , ,Bachelor's,20
0899,HGST INC,43,"$100,954",Master's Degree,22
 , , , ,Doctorate,H
 , , , ,Bachelor's,D
6603,GEORGETOWN UNIV,43,"$59,613",Doctorate,21
 , , , ,Master's Degree,17
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
0067,PARAMOUNT SOFTWARE SOLUTIONS,43,"$67,381",Master's Degree,22
 , , , ,Bachelor's,21
2053,BOR USGA OBO GEORGIA REGENTS,43,"$72,272",Doctorate,26
 , , , ,Professional Degree,12
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
6691,ALTERA CORP,43,"$98,869",Master's Degree,36
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
6018,STUBHUB INC,43,"$121,633",Master's Degree,23
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
3319,VIRGO INC,43,"$62,070",Master's Degree,23
 , , , ,Bachelor's,20
4887,TELECOM TECHNOLOGY SERVICES,43,"$77,531",Bachelor's,25
 , , , ,Master's Degree,H
 , , , ,Some College,D
6406,UNIV OF CALIFORNIA IRVINE,43,"$61,353",Doctorate,37
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
0350,BRISTOL-MYERS SQUIBB COMPANY,42,"$96,303",Master's Degree,16
 , , , ,Doctorate,14
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
0618,THE DEVEREUX FOUNDATION,42,"$32,453",Bachelor's,H
 , , , ,Master's Degree,D
3646,VSQUARE INFOTECH INC,42,"$55,699",Master's Degree,H
 , , , ,Bachelor's,D
6936,VIRTUE GROUP LLC,42,"$58,186",Master's Degree,32
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
3483,ZYNGA INC,42,"$117,264",Master's Degree,28
 , , , ,Bachelor's,14
6609,BANK OF AMERICA CORPORATION,42,"$92,570",Master's Degree,30
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
6959,XENOSOFT TECHNOLOGIES INC,42,"$72,330",Master's Degree,30
 , , , ,Bachelor's,12
